title,url,thumbnail,credit,latitude,longitude
伊アマルフィ海岸　ラベッロで庭園や音楽祭を楽しむ,http://style.nikkei.com/article/DGXMZO93916170S5A111C1000000,https://article-img.nikkei.com/200x133/content/pic/20151129/96958A9F889DEBE1EBE3E4E3E5E2E3E0E3E3E0E2E3E7E2E2E2E2E2E2-DSXZZO9391620012112015000000-NONE-17.jpg?hash=31431cf452ee6583dbb7aa71dcbd157d303fc2dd2d25d36df20f277354ea7514,National Geographic,40.6283494,14.5774964
フィジー・バヌアレブ島、豪華リゾートで島めぐり,http://style.nikkei.com/article/DGXMZO91353890U5A900C1000000,https://article-img.nikkei.com/200x133/content/pic/20150927/96958A9F889DEBE3E1E7E1EAEBE2E2E6E2EBE0E2E3E7E2E2E2E2E2E2-DSXZZO9135397004092015000000-NONE-12.jpg?hash=cf26d83f71733d3f874527d9a6bec8dfdfba7e9e04585212746ffc6435800a52,National Geographic,-16.5680843,178.7014793
心を潤す大自然とのふれ合い　厳選、北米の国立公園,http://style.nikkei.com/article/DGXMZO80635240Y4A201C1000000,https://article-img.nikkei.com/200x133/content/pic/20150104/96958A9F889DEAE2E4E1E7E0E6E2E2EAE3E0E0E2E3E6E2E2E2E2E2E2-DSXZZO8063538008122014000000-NONE-19.jpg?hash=afbb5a7e6a2463941fce88dba5acc57b2fd46740ae13255314599307ed851a26,National Geographic,44.427963,-110.588455
長旅の末に出合う秘境の絶景　厳選、中南米の国立公園,http://style.nikkei.com/article/DGXMZO81618300W5A100C1000000,https://article-img.nikkei.com/200x133/content/pic/20150124/96958A9F889DEAE3E4E3EAE1E2E2E2E4E2E3E0E2E3E7E2E2E2E2E2E2-DSXZZO8161845006012015000000-NONE-8.jpg?hash=6ca97519c9d9796e57982e4e37ce27cc0e3ec80864239eee9c3e82e4458e2ff2,National Geographic,-50.9423228,-73.4089767
